label	intensity_mean	area	axis_major_length	axis_minor_length	major_length_um	minor_length_um	axis_ratio	name	date	op_date	group	paw	spot
1	2984.913043478261	23.0	7.62835197141143	4.108307375244495	2.418187574937423	1.302333437952505	0.5385576584091936	example_image	170125	co	co	co	ps
2	3107.5333333333333	30.0	9.77925242225591	4.102248686272464	3.1000230178551234	1.3004128335483711	0.4194848960986472	example_image	170125	co	co	co	ps
3	3088.5	24.0	6.21825270205921	5.022173057773122	1.9711861065527698	1.5920288593140797	0.8076502031044831	example_image	170125	co	co	co	ps
4	2612.9375	16.0	5.291502622129181	3.872983346207417	1.6774063312149505	1.2277357207477513	0.7319250547113999	example_image	170125	co	co	co	ps
5	2541.795918367347	49.0	11.741725869774436	5.79831182656241	3.722127100718496	1.8380648490202838	0.4938210865140729	example_image	170125	co	co	co	ps
6	3447.5384615384614	78.0	12.9293498199759	7.921265249139119	4.098603892932361	2.511041083977101	0.612657663334372	example_image	170125	co	co	co	ps
7	3275.2608695652175	23.0	6.518218627839437	4.598899537866043	2.0662753050251017	1.4578511535035354	0.7055454565798168	example_image	170125	co	co	co	ps
8	2933.05	40.0	7.595975472697516	6.688135511349764	2.4079242248451127	2.1201389570978755	0.880484084682628	example_image	170125	co	co	co	ps
9	3472.14606741573	89.0	14.372240126328016	7.946958771811243	4.556000120045981	2.519185930664164	0.5529380738117143	example_image	170125	co	co	co	ps
10	3241.9444444444443	18.0	5.033222956847166	4.618802153517006	1.5955316773205517	1.464160282664891	0.9176629354822471	example_image	170125	co	co	co	ps
11	2809.4761904761904	21.0	5.656854249492381	4.826232174979021	1.7932227970890846	1.5299155994683495	0.8531653746270914	example_image	170125	co	co	co	ps
12	3008.2758620689656	29.0	8.078729317152202	4.6763764254753895	2.560957193537248	1.4824113268756984	0.5788504902060314	example_image	170125	co	co	co	ps
13	3229.1071428571427	28.0	7.055240352009208	5.086909159781685	2.236511191586919	1.6125502036507942	0.7210114618324835	example_image	170125	co	co	co	ps
